site,cf,ng100,pv100,pvsh100,ng150,pv150,bess150,pvsh150,cost150,xover
PDX_Portland_OR,0.147,137,0,0,137,0,0,0,110.8,230
CMH_Columbus_OH,0.168,137,0,0,137,0,0,0,110.8,190
SBN_SouthBend_IN,0.171,137,0,0,137,0,0,0,110.8,185
IAD_Ashburn_VA,0.174,137,0,0,137,0,0,0,110.8,180
PHL_Philadelphia_PA,0.175,137,0,0,137,0,0,0,110.8,180
CLT_Charlotte_NC,0.186,137,0,0,137,0,0,0,110.8,165
JAN_Jackson_MS,0.188,137,0,0,137,0,0,0,110.8,160
ATL_Atlanta_GA,0.189,137,0,0,137,0,0,0,110.8,160
IAH_Houston_TX,0.191,137,0,0,137,0,0,0,110.8,160
RNO_Reno_NV,0.224,137,0,0,129,142,0,16,108.1,125
PHX_Phoenix_AZ,0.238,137,0,0,129,148,0,18,106.6,110
