site,cf,ng100,pv100,pvsh100,ng150,pv150,bess150,pvsh150,cost150,xover
PDX_Portland_OR,0.147,147,0,0,147,0,0,0,106.6,230
CMH_Columbus_OH,0.168,142,0,0,142,0,0,0,106.4,190
SBN_SouthBend_IN,0.171,141,0,0,141,0,0,0,106.2,185
IAD_Ashburn_VA,0.174,146,0,0,146,0,0,0,107.1,180
PHL_Philadelphia_PA,0.175,143,0,0,143,0,0,0,106.6,180
CLT_Charlotte_NC,0.186,148,0,0,148,0,0,0,107.5,165
JAN_Jackson_MS,0.188,147,0,0,147,0,0,0,107.9,160
ATL_Atlanta_GA,0.189,147,0,0,147,0,0,0,107.4,160
IAH_Houston_TX,0.191,147,0,0,147,0,0,0,108.5,160
RNO_Reno_NV,0.224,147,0,0,140,139,0,16,104.5,125
PHX_Phoenix_AZ,0.238,159,0,0,150,155,0,19,106.6,110
