site,cf,ng100,pv100,pvsh100,ng150,pv150,bess150,pvsh150,cost150,xover
PDX_Portland_OR,0.153,137,0,0,137,0,0,0,110.8,220
CMH_Columbus_OH,0.174,137,0,0,137,0,0,0,110.8,180
SBN_SouthBend_IN,0.177,137,0,0,137,0,0,0,110.8,175
IAD_Ashburn_VA,0.18,137,0,0,137,0,0,0,110.8,170
PHL_Philadelphia_PA,0.181,137,0,0,137,0,0,0,110.8,170
CLT_Charlotte_NC,0.193,137,0,0,137,0,0,0,110.8,155
JAN_Jackson_MS,0.195,137,0,0,137,0,0,0,110.8,155
ATL_Atlanta_GA,0.195,137,0,0,130,139,0,14,110.8,150
IAH_Houston_TX,0.198,137,0,0,129,140,0,14,110.6,150
RNO_Reno_NV,0.231,137,0,0,129,140,0,16,107.5,115
PHX_Phoenix_AZ,0.246,137,0,0,129,148,0,18,105.9,105
