site,cf,ng100,pv100,pvsh100,ng150,pv150,bess150,pvsh150,cost150,xover
PDX_Portland_OR,0.153,147,0,0,147,0,0,0,106.6,220
CMH_Columbus_OH,0.174,142,0,0,142,0,0,0,106.4,180
SBN_SouthBend_IN,0.177,141,0,0,141,0,0,0,106.2,175
IAD_Ashburn_VA,0.18,146,0,0,146,0,0,0,107.1,170
PHL_Philadelphia_PA,0.181,143,0,0,143,0,0,0,106.6,170
CLT_Charlotte_NC,0.193,148,0,0,148,0,0,0,107.5,155
JAN_Jackson_MS,0.195,147,0,0,147,0,0,0,107.9,155
ATL_Atlanta_GA,0.195,147,0,0,140,136,0,14,107.4,150
IAH_Houston_TX,0.198,147,0,0,140,139,0,14,108.2,150
RNO_Reno_NV,0.231,147,0,0,140,137,0,16,103.9,115
PHX_Phoenix_AZ,0.246,159,0,0,150,155,0,19,105.9,105
